Session ID,Title,Format,Type,EstSeating,Topic,Sponsor,Cosponsor,Duration,Equipment,Speaker
6124,Miguel de Unamuno: Critical Engagements with Embodiment,Panel,Special Sessions,25,Spanish Literature: Twentieth and Twenty-First Centuries,,,75,Projector,4
6126,Empire and Environment: Confronting Ecological Ruination in the Asia-Pacific and North America,Panel,Special Sessions,45,American Literature: Twentieth and Twenty-First Centuries,,,75,Projector,5
6129,When the Canon Is Not Enough,Roundtable,Forum Sessions,30,Latin American Literature: Latin American Literature,LLC Colonial Latin American,,75,,5
6131,Legacies of the Avant-Garde,Roundtable,Forum Sessions,50,American Literature: Twentieth and Twenty-First Centuries,LLC 20th- and 21st-Century American,,75,"Projector, Speakers",5
6149,Beyond the Pleasure Principle: A Centenary Roundtable,Roundtable,Forum Sessions,100,Comparative Literature: General,LLC Victorian and Early-20th-Century English,,75,Projector,5
6178,Posthumanism and Premodern China,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,LLC Pre-14th-Century Chinese,LLC Ming and Qing Chinese,75,Projector,5
6180,Translatability and World Literature,Panel,Forum Sessions,50,"Genre, Theory, Method: Translation",TC Translation Studies,,75,Projector,5
6181,What Is (Chinese) Poetry?,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,LLC Pre-14th-Century Chinese,,75,Projector,5
6182,Intervenciones feministas en la era digital,Panel,Allied Organizations,50,Comparative Literature: Twentieth and Twenty-First Centuries,Feministas Unidas,,75,Projector,5
6183,The Classical Chinese Cosmopolis,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,LLC Pre-14th-Century Chinese,,75,"Projector, Speakers",5
6184,"Rethinking Translation, Origination, Originality",Panel,Forum Sessions,25,"Genre, Theory, Method: Translation",TC Translation Studies,,75,"Projector, Speakers",5
6196,Empathy and the Profession of Literature,Panel,Special Sessions,50,"Genre, Theory, Method: Literary Criticism and Theory",,,75,Projector,5
6199,Digital Pedagogies for Nineteenth- and Early-Twentieth-Century Literature,Roundtable,Forum Sessions,60,Teaching: Literature,LLC Victorian and Early-20th-Century English,,75,Projector,5
6212,Droit de Cité: L’autre en démocratie ou la bataille pour l’égaliberté,Panel,Allied Organizations,20,Francophone Literature: General,Conseil International d’Études Francophones,,75,Projector,5
6215,Contemporary Poets on Wallace Stevens: An Open Conversation,Roundtable,Allied Organizations,40,American Literature: Twentieth and Twenty-First Centuries,Wallace Stevens Society,,75,"Projector, Speakers",5
6216,The Valuation of the Seventy-Three Percent: Contingent Faculty Work and Access to Academic Freedom,Panel,MLA Committees,35,The Profession: General,MLA Committee on Contingent Labor in the Profession,MLA Committee on Academic Freedom and Professional Rights and Responsibilities,75,Projector,16
6219,New Research in Germanic Philology and Linguistics,Panel,Forum Sessions,20,Linguistics: Foreign Languages,LSL Germanic Philology and Linguistics,,75,Projector,112
6229,The Presidential Address,Roundtable,MLA Committees,300,The Profession: General,Presidential Address,,75,Projector,117
6231,Alternative Imaginaries of the Human in Korean Science Fiction,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,LLC Korean,,75,Projector,129
6232,MLA Delegate Assembly,Workshop,MLA Committees,350,The Profession: General,Delegate Assembly,,75,Projector,144
6233,Open Hearing of the MLA Delegate Assembly,Workshop,MLA Committees,60,The Profession: General,Delegate Assembly Organizing Committee,,75,Projector,184
6234,[Canceled] Open Hearing on Resolutions,Workshop,MLA Committees,60,The Profession: General,Delegate Assembly Organizing Committee,,75,Projector,206
6235,Delegate Assembly Orientation Breakfast,Reception,Social Events,60,,,,75,Projector,207
6236,Closed meeting of the DAOC,Reception,Social Events,13,,,,75,,207
6239,"No Fear Shakespeare: On Paraphrase, Transmission, and Survival",Panel,Forum Sessions,60,British Literature: Shakespeare,LLC Shakespeare,,75,"Projector, Speakers",209
6242,"Making and Using the MLA International Bibliography for the Twenty-First Century: Human Expertise, Digital Tools",Roundtable,MLA Committees,35,The Profession: Research and Bibliography,Advisory Committee on the MLA International Bibliography,,75,"Projector, Speakers",209
6244,The Novel about Time: Phenomenologies of Time-Consciousness in Minority Fictions of the United States,Panel,Special Sessions,20,"Genre, Theory, Method: Literary Criticism and Theory",,,75,Projector,246
6252,Postsecular Political Theologies,Roundtable,Forum Sessions,60,"Genre, Theory, Method: Literary Criticism and Theory",TC Religion and Literature,,75,Projector,338
6258,"Approaches to the Rural in Galician Studies: Gender, Sexuality, and Resistance",Panel,Forum Sessions,20,Galician Literature: Galician Literature,LLC Galician,,75,,338
6264,Modern Latin American Poetries in the Classroom,Roundtable,MLA Committees,35,Latin American Literature: Latin American Literature,MLA Publications Committee,,75,Projector,338
6266,The Holocaust and New Jewish Fiction,Panel,Special Sessions,40,Jewish Literature: Jewish Literature,,,75,"Projector, Speakers",339
6269,The Global Small Magazine,Panel,Forum Sessions,25,African Literatures: African Literatures,LLC African to 1990,,75,"Projector, Speakers",339
6292,Legacies of Perpetration: German Family Memory and the Nazi Past,Panel,Allied Organizations,50,"Genre, Theory, Method: Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",American Psychoanalytic Association,,75,"Projector, Speakers",342
6294,The State of the Revolution (of the Ordinary): Early Career Scholars Respond to Moi,Panel,Special Sessions,50,"Genre, Theory, Method: Literary Criticism and Theory",,,75,Projector,358
6306,Committee on K-16 Alliances meeting,Reception,Social Events,10,,,,75,Projector,363
6311,Cinéma-monde francophone,Panel,Forum Sessions,30,Francophone Literature: General,LLC Francophone,,75,Projector,363
6317,George Sand’s Humanistic Pedagogy,Panel,Allied Organizations,25,French Literature: Eighteenth and Nineteenth Centuries,George Sand Association,,75,"Projector, Speakers",382
6333,"Race, Indigeneity, and Articulations of Sovereignty across the Global South",Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,CLCS Global South,,75,Projector,382
6341,Black Queer Contributions,Panel,Forum Sessions,50,American Literature: Twentieth and Twenty-First Centuries,LLC African American,,75,Projector,386
6345,Middle English Affects,Roundtable,Forum Sessions,40,British Literature: Old and Middle English,LLC Middle English,,75,Projector,386
6347,Joyce and Paris,Panel,Allied Organizations,50,British Literature: Twentieth and Twenty-First Centuries,International James Joyce Foundation,,75,"Projector, Speakers",389
6348,Disability Bioethics,Panel,Forum Sessions,30,"Genre, Theory, Method: Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",TC Disability Studies,,75,Projector,394
6351,"New Developments in Sylvia Plath Studies: Archives, Biography, and Feminism",Panel,Special Sessions,100,American Literature: Twentieth and Twenty-First Centuries,,,75,"Projector, Speakers",394
6354,Human and Nonhuman Agency in Twentieth-Century Fiction and Twenty-First-Century Technologies,Panel,Special Sessions,35,Comparative Literature: Twentieth and Twenty-First Centuries,,,75,"Projector, Speakers",404
6355,Bad Books,Panel,Special Sessions,25,"Genre, Theory, Method: History of the Book, Reception Theory, Comparison with Other Media, and Performance",,,75,,404
6358,Remembering Hayden White (12 July 1928–5 March 2018),Reception,Social Events,35,,,,75,Projector,404
6359,"From “The Burden of History” to The Practical Past: A Celebration of Hayden White’s Contributions to History, Theory, and Literature",Roundtable,Special Sessions,20,"Genre, Theory, Method: Literary Criticism and Theory",,,75,Projector,407
6361,Paris Was a Woman,Panel,Special Sessions,30,"Genre, Theory, Method: Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",,,75,,410
6364,Fake Scotlands: From Ossian to Outlander,Panel,Special Sessions,20,Other Literature in English: Scottish,,,75,"Projector, Speakers",422
6371,Improvisation in Nineteenth-Century American Literature,Panel,Special Sessions,35,American Literature: Before 1900,,,75,,428
6372,Constructed Languages,Panel,Forum Sessions,30,Linguistics: Composite Languages,TM Language Theory,,75,Projector,428
6375,When Grendel Met Grumpy Cat: Historical Englishes on the Internet,Roundtable,Forum Sessions,50,Other Literatures: Other Literatures,TM Language Theory,LLC Old English,75,Projector,445
6378,New Currents in Medieval Iberian Studies,Panel,Forum Sessions,30,Spanish Literature: Medieval and Renaissance,LLC Medieval Iberian,,75,,448
6381,Political Imagination in Iberian and Latin American Graphic Narratives,Panel,Special Sessions,30,Latin American Literature: Latin American Literature,,,75,Projector,452
6385,MLQ and the Project of Literary History,Roundtable,Forum Sessions,80,"Genre, Theory, Method: Literary History",TC History and Literature,,75,"Projector, Speakers",461
6386,"Graduate Admissions: Past, Present, and Especially Future",Roundtable,Special Sessions,60,The Profession: General,,,75,Projector,464
6390,Posthumous Returns of African American Film and Literature,Panel,Special Sessions,50,American Literature: Twentieth and Twenty-First Centuries,,,75,Projector,483
6395,"China’s Environment, Society, and Culture: An Interdisciplinary Roundtable",Roundtable,Forum Sessions,40,"Genre, Theory, Method: Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",LLC Modern and Contemporary Chinese,,75,"Projector, Speakers",492
6398,Shakespeare and Amateur Hour,Panel,Forum Sessions,15,British Literature: Shakespeare,LLC Shakespeare,,75,Projector,492
6401,"Race, Recovery, and Early African American Print Culture",Panel,Special Sessions,25,American Literature: Before 1900,,,75,Projector,502
6411,"Together Again: Literature, Creative Writing, and Composition",Panel,MLA Committees,60,Teaching: Writing,MLA Committee on K–16 Alliances,,75,Projector,502
6426,Bringing Translation and Interpreting to the World Language Curriculum,Roundtable,Allied Organizations,25,"Genre, Theory, Method: Translation",American Translators Association,,75,Projector,502
6431,Humanizing Online Literature Classes,Workshop,Special Sessions,30,Teaching: Literature,,,75,Projector,502
6437,Popular Music and Society in Spain,Panel,Forum Sessions,25,"Genre, Theory, Method: Cultural Studies, Folklore, and Popular Culture",LLC 20th- and 21st-Century Spanish and Iberian,,75,Projector,502
6453,"Race, Age, and Futurities",Panel,Forum Sessions,40,American Literature: General,TC Age Studies,,75,Projector,502
6455,Why Teach Literature?,Panel,Forum Sessions,100,Teaching: Literature,TM The Teaching of Literature,,75,Projector,505
6456,Hawthorne and the Digital Humanities,Panel,Allied Organizations,20,American Literature: Before 1900,Nathaniel Hawthorne Society,,75,"Projector, Speakers",505
6465,What Is Humanities Research Now?,Roundtable,MLA Committees,30,The Profession: Research and Bibliography,Advisory Committee on the MLA International Bibliography,,75,"Projector, Speakers",543
6466,Failure/Échec,Panel,Forum Sessions,30,French Literature: Eighteenth and Nineteenth Centuries,LLC 18th-Century French,,75,Projector,544
6470,Reading Whitman Anew,Panel,Special Sessions,25,American Literature: Before 1900,,,75,Projector,544
6480,Poetics and Lineation,Roundtable,Forum Sessions,50,"Genre, Theory, Method: Poetry",GS Poetry and Poetics,,75,Projector,544
6481,Linguistic Reimaginings in Speculative Fiction,Panel,Forum Sessions,20,Linguistics: General,LSL Linguistics and Literature,,75,Projector,544
6482,Alternate Linguistic Environments in Speculative Fiction,Panel,Forum Sessions,20,Linguistics: General,LSL Linguistics and Literature,,75,"Projector, Speakers",546
6483,Autotheoretical Grammar: Undoing the Singular and Other Experiments in Political Endurance,Panel,Special Sessions,50,"Genre, Theory, Method: Literary Criticism and Theory",,,75,Projector,561
6493,The Uncanny Topicality of African American Literature,Panel,Special Sessions,50,American Literature: Twentieth and Twenty-First Centuries,,,75,Projector,562
6497,"Build Your Online Presence, Share Your Scholarship, and Collaborate on MLA Commons and Humanities Commons",Workshop,MLA Committees,30,The Profession: General,MLA Career Center,,75,"Projector, Speakers",562
6503,Revisiting Immigration in Asian American Literature,Panel,Forum Sessions,35,American Literature: General,LLC Asian American,,75,Projector,562
6506,Fighting Exploitation of Contingent Faculty Members from Within: How Tenure-Stream Allies Can Help Create Equity on Campus,Workshop,Special Sessions,50,The Profession: General,,,75,Projector,562
6507,Historicizing the Human in Human Rights,Panel,Forum Sessions,40,"Genre, Theory, Method: Literary Criticism and Theory",TC History and Literature,"TC Marxism, Literature, and Society",75,Projector,586
6508,The Eunuch: Past(s) and Present(s),Panel,Special Sessions,30,Comparative Literature: General,,,75,"Projector, Speakers",623
6518,Shakespearean Phenomenology,Panel,Special Sessions,25,British Literature: Shakespeare,,,75,Projector,623
6521,"Cash Bar Arranged by the Minnesota Review; Mediations; and the Forum TC Marxism, Literature, and Society",Cash bar,Social Events,100,,,,75,"Projector, Speakers",623
6523,New Medias in Literature and Anthropology,Panel,Forum Sessions,40,"Genre, Theory, Method: History of the Book, Reception Theory, Comparison with Other Media, and Performance",TC Anthropology and Literature,,75,"Projector, Speakers",633
6527,Fictions of Belonging,Roundtable,Forum Sessions,60,"Genre, Theory, Method: Prose Fiction",GS Prose Fiction,,75,"Projector, Speakers",633
6531,Prison Literature and Mass Incarceration,Panel,Special Sessions,50,American Literature: Twentieth and Twenty-First Centuries,,,75,"Projector, Speakers",655
6534,Bad Reading,Panel,Allied Organizations,30,"Genre, Theory, Method: History of the Book, Reception Theory, Comparison with Other Media, and Performance",Reception Study Society,,75,"Projector, Speakers",655
6537,Asian American Reading Publics,Roundtable,Forum Sessions,30,American Literature: Twentieth and Twenty-First Centuries,LLC Asian American,,75,Projector,670
6539,Thinking Black Feminism and the Human: The Absence/Presence of Gender in Black Studies,Panel,Special Sessions,25,American Literature: Twentieth and Twenty-First Centuries,,,75,Projector,670
6540,Guess Who’s Coming to Campus: Writers from the Global South and Cold War Academic Cultures,Roundtable,Special Sessions,50,Comparative Literature: Twentieth and Twenty-First Centuries,,,75,Projector,679
6543,Mark Twain and Globalism,Panel,Allied Organizations,30,American Literature: Before 1900,Mark Twain Circle of America,,75,"Projector, Speakers",679
6551,“How to Be Human Now”: A Poetry Reading with Marilyn Nelson,Event,Special Events,75,American Literature: Twentieth and Twenty-First Centuries,,,75,Projector,679
6552,Digital Approaches to Place-Based Teaching,Panel,Special Sessions,30,Teaching: General,,,75,"Projector, Speakers",751
6560,"Diversity, Equity, and Inclusion in Your Department",Workshop,Special Sessions,30,The Profession: General,,,75,Projector,751
6561,Chaucer’s Walls,Panel,Forum Sessions,30,British Literature: Old and Middle English,LLC Chaucer,,75,"Projector, Speakers",755
6563,The Polar Imagination,Panel,Special Sessions,30,"Genre, Theory, Method: Cultural Studies, Folklore, and Popular Culture",,,75,Projector,755
6569,Ecocritical Fieldwork,Panel,Special Sessions,50,"Genre, Theory, Method: Literary Criticism and Theory",,,75,"Projector, Speakers",755
6570,Crosscurrents in Lawrence Studies,Panel,Allied Organizations,25,British Literature: Twentieth and Twenty-First Centuries,D. H. Lawrence Society of North America,,75,Projector,762
6573,Transatlantic Melodrama,Panel,Forum Sessions,35,British Literature: Nineteenth Century,LLC Victorian and Early-20th-Century English,,75,Projector,762
6576,Poetry and Performance,Panel,Forum Sessions,70,American Literature: General,LLC Late-19th- and Early-20th-Century American,,75,Projector,767
6586,Antiracist Pedagogy and Assessment at the Community College,Roundtable,Special Sessions,40,Teaching: Writing,,,75,,767
6589,Laughing at Power,Panel,Forum Sessions,40,Spanish Literature: Twentieth and Twenty-First Centuries,LLC 20th- and 21st-Century Spanish and Iberian,,75,,779
