Session ID,Title,Format,Type,EstSeating,Topic,Sponsor,Cosponsor,Duration,Equipment,Speaker
6590,Language and the Interdisciplinary Department,Roundtable,MLA Committees,50,The Profession: Foreign Languages,MLA Office of Programs,,75,Projector,779
6591,Iberian Cinema Studies in 2020: State(s) of the Field,Roundtable,Special Sessions,40,Spanish Literature: Twentieth and Twenty-First Centuries,,,75,Projector,871
6598,Redefining Religion in Nineteenth-Century British Literature: Sacred Forms and Shifting Practices,Panel,Special Sessions,35,British Literature: Nineteenth Century,,,75,,871
6599,African American Transnationalism,Panel,Forum Sessions,40,American Literature: Twentieth and Twenty-First Centuries,TC Race and Ethnicity Studies,,75,Projector,871
6600,Periodizing Race,Roundtable,Forum Sessions,100,British Literature: General,LLC Shakespeare,LLC Chaucer,75,,898
6601,Biology and Poetics,Panel,Forum Sessions,100,"Genre, Theory, Method: Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",TM Literary Criticism,,75,Projector,898
6604,"Migration, Islam, Islamophobia",Panel,Forum Sessions,50,"Genre, Theory, Method: Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",TC Religion and Literature,,75,,898
6605,"Ruin, Rot, and Decay:  Literary Form, Textual Cultures, and the Environmental Humanities",Roundtable,Special Sessions,40,"Genre, Theory, Method: Literary Criticism and Theory",,,75,Projector,921
6606,Teaching Humanity? The Cultural Work of Literature Instruction in the United States,Panel,Special Sessions,30,Teaching: Literature,,,75,Projector,921
6608,Music and Lyrics in Medieval and Early Modern Performance,Panel,Allied Organizations,25,"Genre, Theory, Method: Drama",Lyrica Society for Word-Music Relations,,75,Projector,929
6613,Disability and Surveillance,Panel,MLA Committees,40,"Genre, Theory, Method: Cultural Studies, Folklore, and Popular Culture",MLA Committee on Disability Issues in the Profession,,75,Projector,929
6616,Advancing the Public Humanities,Panel,Allied Organizations,50,The Profession: General,Community College Humanities Association,,75,"Projector, Speakers",929
6617,Thoreau and the Limits of the Human,Panel,Allied Organizations,30,American Literature: Before 1900,Thoreau Society,,75,,929
6620,Colonial Translation: Rendering Indigenous and Western Exchanges,Panel,Forum Sessions,30,Latin American Literature: Latin American Literature,LLC Colonial Latin American,,75,,942
6625,V. S. Naipaul Today,Panel,Special Sessions,20,Other Literature in English: Caribbean,,,75,Projector,943
6627,Historicizing #MeToo,Panel,Special Sessions,25,"Genre, Theory, Method: Film, Television, and Other Media",,,75,Projector,970
6628,Robber Barons and Other Villains,Panel,Forum Sessions,70,American Literature: General,LLC Late-19th- and Early-20th-Century American,,75,Projector,970
6631,Wharton and Disability,Panel,Allied Organizations,40,American Literature: Twentieth and Twenty-First Centuries,Edith Wharton Society,,75,Projector,970
6635,"Jewish Objects, Jewish Materials",Panel,Forum Sessions,60,Jewish Literature: Jewish Literature,CLCS Global Jewish,,75,"Projector, Speakers",979
6646,Affective Approaches to the Study of Contemporary Spanish LGBTQI Culture I,Working Group,Working Groups,30,Spanish Literature: Twentieth and Twenty-First Centuries,,,75,"Projector, Speakers",997
6652,Nineteenth-Century Comparative Race and Indigeneity,Roundtable,Forum Sessions,25,American Literature: Before 1900,LLC 19th-Century American,,75,Projector,1036
6660,Gendering the Human,Roundtable,Allied Organizations,40,Comparative Literature: Medieval and Renaissance,Society for the Study of Early Modern Women and Gender,,75,Projector,1036
6664,World Literature and New Humanism in the Digital Age,Roundtable,Special Sessions,30,Comparative Literature: General,,,75,"Projector, Speakers",1036
6665,"Bodies, Borders, and Boundaries: Embodiments of Multicultural and Transnational Children",Panel,Allied Organizations,25,"Genre, Theory, Method: Children’s Literature",Children’s Literature Association,,75,"Projector, Speakers",1041
6666,Indigenous Futurisms from Latin America,Panel,Special Sessions,20,Latin American Literature: Latin American Literature,,,75,,1047
6670,"The Poetry of the Americas: Responses, Extensions, Critiques",Roundtable,Special Sessions,30,Comparative Literature: Twentieth and Twenty-First Centuries,,,75,,1047
6674,High-Impact Practices in the Teaching of Romance Linguistics,Roundtable,Forum Sessions,25,Linguistics: Foreign Languages,LSL Romance Linguistics,,75,,1053
6677,Latin America and the Rise of the Right: Citizenship and Belonging,Panel,Forum Sessions,20,"Portuguese, Luso-Brazilian, and Lusophone Literatures: Portuguese, Luso-Brazilian, and Lusophone Literatures",LLC 20th- and 21st-Century Latin American,LLC Luso-Brazilian,75,Projector,1053
6687,Re-Viewing Italian Cinema: New Theoretical Approaches,Panel,Allied Organizations,35,Italian Literature: Italian Literature,American Association of Teachers of Italian,,75,Projector,1060
6690,What Is a Human? Literature and the Anthropology of Man,Panel,Forum Sessions,40,British Literature: Nineteenth Century,TC Anthropology and Literature,,75,Projector,1061
6694,Reading Motherhood Now,Roundtable,Special Sessions,40,American Literature: Twentieth and Twenty-First Centuries,,,75,Projector,1062
6696,"Being Human, Making Waste",Panel,Forum Sessions,25,Spanish Literature: Eighteenth and Nineteenth Centuries,LLC 18th- and 19th-Century Spanish and Iberian,,75,Projector,1097
6698,Marlowe's Source Material: New Directions,Panel,Allied Organizations,40,British Literature: Renaissance and Elizabethan,Marlowe Society of America,,75,Projector,1097
6699,Architextures of Knowledge,Panel,Allied Organizations,40,"Genre, Theory, Method: Electronic Technology (Teaching, Research, and Theory)",Society for Textual Scholarship,,75,"Projector, Speakers",1109
6700,Digital Scholarship in Tenure and Promotion,Roundtable,MLA Committees,60,The Profession: General,MLA Committee on Information Technology,,75,"Projector, Speakers",1115
6701,Asia in the Anglophone,Panel,Forum Sessions,50,Comparative Literature: Twentieth and Twenty-First Centuries,LLC 20th- and 21st-Century English and Anglophone,,75,"Projector, Speakers",1116
6703,Comparison against Time,Panel,Forum Sessions,50,Comparative Literature: General,CLCS 20th- and 21st-Century,,75,Projector,1163
6706,Placeholder - CLCS Hemispheric American,Panel,Forum Sessions,25,African Literatures: African Literatures,CLCS Hemispheric American,,75,"Projector, Speakers",1166
6711,Alphabetic Memes: Tracking Imperial Language Conquest across Persia and the Stans,Panel,Forum Sessions,70,Comparative Literature: General,CLCS 20th- and 21st-Century,,75,"Projector, Speakers",1175
6712,Voice: Remediated Embodiments,Panel,Forum Sessions,40,"Genre, Theory, Method: Film, Television, and Other Media",MS Opera and Musical Performance,,75,Projector,1191
6717,Whither Sex?,Roundtable,Forum Sessions,200,Other Literatures: Other Literatures,TC Sexuality Studies,,75,Projector,1191
6721,Critical Caste Studies,Roundtable,Allied Organizations,40,Other Literature in English: Indian,South Asian Literary Association,,75,"Projector, Speakers",1205
6724,Theorizing #MeToo,Roundtable,Forum Sessions,100,Other Literatures: Other Literatures,TC Sexuality Studies,TM Literary and Cultural Theory,75,Projector,1205
6725,American Women’s Writing and the Genealogies of Queer Thought,Roundtable,Special Sessions,30,American Literature: General,,,75,"Projector, Speakers",1208
6726,Pre-Texts Workshop,Workshop,Special Sessions,25,Teaching: Literature,,,75,"Projector, Speakers",1208
6730,“Grown-Ass Women”: Understanding and Teaching Angry Texts in Several Genres,Roundtable,Special Sessions,30,"Genre, Theory, Method: Cultural Studies, Folklore, and Popular Culture",,,75,"Projector, Speakers",1221
6732,Reading Poverty in United States Literature: Theories and Methods,Panel,Special Sessions,50,American Literature: Twentieth and Twenty-First Centuries,,,75,Projector,1221
6733,Teaching Modern Drama I,Working Group,Working Groups,15,Teaching: Literature,,,75,Projector,1238
6735,"New Materialism, Old Material",Panel,Forum Sessions,40,Comparative Literature: General,CLCS Classical and Modern,,75,"Projector, Speakers",1262
6736,Elena Ferrante on My Mind,Panel,Forum Sessions,50,"Genre, Theory, Method: Literary Criticism and Theory",TC Cognitive and Affect Studies,,75,"Projector, Speakers",1276
6743,Lyric Keywords,Roundtable,Forum Sessions,30,British Literature: Renaissance and Elizabethan,LLC 16th-Century English,,75,"Projector, Speakers",1276
6744,The Sociology of French Culture: In Honor of Priscilla Parkhurst Ferguson,Roundtable,Forum Sessions,30,French Literature: Eighteenth and Nineteenth Centuries,LLC 19th-Century French,,75,Projector,1312
6749,"Poe, Islands, Archipelagoes",Panel,Allied Organizations,35,American Literature: Before 1900,Poe Studies Association,,75,Projector,1320
6750,New Work in Sixteenth-Century French Literary and Cultural Studies,Panel,Forum Sessions,35,French Literature: Medieval and Renaissance,LLC 16th-Century French,,75,Projector,1320
6751,Spenser and the Digital Humanities,Roundtable,Allied Organizations,30,British Literature: Renaissance and Elizabethan,International Spenser Society,"Society for the History of Authorship, Reading, and Publishing",75,Projector,1331
6753,Nature/Culture: Perspectives from Sixteenth-Century French Literature,Panel,Forum Sessions,40,French Literature: Medieval and Renaissance,LLC 16th-Century French,,75,"Projector, Speakers",1331
6763,“Exophony” and Other Challenges to Thinking National Literatures,Panel,Forum Sessions,30,Asian Literatures: Asian Literatures,LLC Korean,,75,"Projector, Speakers",1347
6765,What Is Living and What Is Dead in Theory,Roundtable,Forum Sessions,100,"Genre, Theory, Method: Literary Criticism and Theory",TM Literary and Cultural Theory,,75,Projector,1347
6769,Forms of New and Old Authoritarianism in Spain,Panel,Forum Sessions,45,Spanish Literature: Twentieth and Twenty-First Centuries,LLC 20th- and 21st-Century Spanish and Iberian,,75,,1351
6774,Bibliopedagogy,Panel,Forum Sessions,30,"Genre, Theory, Method: History of the Book, Reception Theory, Comparison with Other Media, and Performance","TM Book History, Print Cultures, Lexicography",,75,Projector,1351
6775,"(Re)Making Early Middle English: New Considerations of Postconquest Judgment, Race, Nostalgia, and Periodization in Celebration of the Launch of Early Middle English",Panel,Special Sessions,40,British Literature: Old and Middle English,,,75,Projector,1352
6776,"Posthuman, Inhuman",Panel,Forum Sessions,50,Comparative Literature: Twentieth and Twenty-First Centuries,TC Philosophy and Literature,,75,Projector,1352
6779,Writing Identity from Coast to Coast: Developing Self and Social Awareness through Creative Writing Pedagogy in Composition and Literature,Workshop,Special Sessions,20,Teaching: Writing,,,75,"Projector, Speakers",1359
6781,"Indigenous Ontologies: Human, Territory, Animal, and Plant Lives Interrelationships in Contemporary Indigenous Literatures",Panel,Special Sessions,20,Other Literatures: Other Literatures,,,75,Projector,1359
6782,Repurposing Chaucer,Roundtable,Forum Sessions,40,British Literature: Old and Middle English,LLC Chaucer,,75,"Projector, Speakers",1362
6783,Being Folk: How Folkloristics Humanizes Cultural Processes,Panel,Allied Organizations,20,Comparative Literature: General,American Folklore Society,,75,"Projector, Speakers",1363
6786,The Rambling Cash Bar with the Forums LLC Restoration and Early-18th-Century English and LLC Late 18th-Century English,Cash bar,Social Events,50,,,,75,Projector,1363
6788,Bad Art,Roundtable,Forum Sessions,20,Comparative Literature: General,LLC Slavic and East European,,75,"Projector, Speakers",1363
6789,Central Asian Literature: Subjects and Worlds,Panel,Forum Sessions,15,Slavic and East European Literatures: Slavic and East European Literatures,LLC Russian and Eurasian,,75,"Projector, Speakers",1428
6790,Representing the Unprecedented,Panel,Forum Sessions,50,British Literature: Nineteenth Century,LLC Victorian and Early-20th-Century English,,75,"Projector, Speakers",1429
6794,Palestine and Human Rights,Panel,Forum Sessions,20,Arabic Literature: Arabic Literature,LLC Arabic,,75,"Projector, Speakers",1429
6795,The Multilingual Maghreb,Panel,Forum Sessions,20,Comparative Literature: General,LLC Arabic,LLC Francophone,75,Projector,1429
6797,Literature and the Environment in Europe,Panel,Forum Sessions,15,Comparative Literature: Twentieth and Twenty-First Centuries,CLCS European Regions,,75,"Projector, Speakers",1437
6799,Comic Lives,Panel,Forum Sessions,30,"Genre, Theory, Method: Cultural Studies, Folklore, and Popular Culture",GS Life Writing,,75,"Projector, Speakers",1437
6800,Life Writing on Contested Ground,Panel,Forum Sessions,50,"Genre, Theory, Method: Nonfictional Prose",GS Life Writing,,75,"Projector, Speakers",1437
6802,John Clare: Conversations in Song,Panel,Allied Organizations,25,British Literature: Nineteenth Century,John Clare Society of North America,,75,"Projector, Speakers",1437
6804,"1990 at Thirty: Theory, Interventions, Disciplines",Roundtable,Special Sessions,75,"Genre, Theory, Method: Literary Criticism and Theory",,,75,Projector,1438
6805,Milton's Unruly Environments,Panel,Allied Organizations,50,British Literature: Seventeenth Century,Milton Society of America,,75,Projector,1438
6808,New Romanticisms,Panel,Allied Organizations,50,British Literature: Nineteenth Century,Keats-Shelley Association of America,,75,Projector,1439
6812,Theory’s Seventeenth Century,Panel,Forum Sessions,20,French Literature: Seventeenth Century,LLC 17th-Century French,,75,Projector,1446
6814,Career Opportunities in Two-Year Colleges,Roundtable,MLA Committees,30,The Profession: General,ADE Executive Committee,ADFL Executive Committee,75,"Projector, Speakers",1446
6817,Human Rights and the Human,Panel,Plenary Sessions,100,"Genre, Theory, Method: Literary Criticism and Theory",,,75,"Projector, Speakers",1447
6820,Sustaining and Building the English Major: Models for Success,Roundtable,MLA Committees,40,The Profession: English and American,ADE Executive Committee,,75,,1452
6821,Preconvention Workshop on Career Directions for PhDs in English,Roundtable,MLA Committees,50,The Profession: English and American,ADE Executive Committee,,75,"Projector, Speakers",1455
6823,New Literary Realisms,Panel,Special Sessions,30,"Genre, Theory, Method: Literary Criticism and Theory",,,75,"Projector, Speakers",1455
6832,Our Changing Workplace: Contradictions and Strategies of Faculty Governance,Roundtable,MLA Committees,30,The Profession: General,MLA Committee on Academic Freedom and Professional Rights and Responsibilities,,75,Projector,1455
6838,Political Commitments / Professional Responsibilities,Roundtable,MLA Committees,100,The Profession: General,MLA Committee on Academic Freedom and Professional Rights and Responsibilities,,75,Projector,1455
6839,Latinx Literature since 2010,Roundtable,Special Sessions,40,American Literature: Twentieth and Twenty-First Centuries,,,75,Projector,1456
6844,Poetry in Motion: Teaching Metrics through Performance,Roundtable,Forum Sessions,35,Teaching: Literature,TM Language Theory,,75,"Projector, Speakers",1457
6849,"Milton and Donne: Religion, Politics, Aesthetics",Panel,Allied Organizations,50,British Literature: Seventeenth Century,Milton Society of America,John Donne Society,75,"Projector, Speakers",1457
6850,PMLA: How Members Shape the Journal,Roundtable,MLA Committees,50,The Profession: Publishing and Editing,PMLA Editorial Board,,75,"Projector, Speakers",1461
6851,Teaching the Humanities through the Global Hispanophone,Roundtable,Forum Sessions,30,Teaching: Literature,CLCS Global Hispanophone,,75,,1461
6857,Seventeenth-Century Race Thinking: Embodiment,Roundtable,Forum Sessions,50,British Literature: Seventeenth Century,LLC 17th-Century English,,75,Projector,1462
6859,Life Writing and the Life of Faith,Panel,Allied Organizations,35,"Genre, Theory, Method: Nonfictional Prose",Conference on Christianity and Literature,,75,"Projector, Speakers",1513
6860,Empathy and the Postcolonial,Panel,Special Sessions,35,Other Literature in English: General,,,75,Projector,1515
6861,Scholarly Editing Now,Roundtable,Forum Sessions,30,American Literature: General,TM Bibliography and Scholarly Editing,,75,Projector,1517
6864,Revising Resilience: Literary Listening and Indigenous Perspectives,Panel,Allied Organizations,30,"Genre, Theory, Method: Literary Criticism and Theory",Association for the Study of Literature and the Environment,,75,"Projector, Speakers",1527
6869,The Uses of the University Press,Roundtable,Special Sessions,75,The Profession: Publishing and Editing,,,75,Projector,1542
